pincode,city,state,global_cargo_region,is_oda,deliverable,safexpress_is_oda,bluedart_region
416311,Kavathe Mahankal,Maharashtra,W2,1,1,,WEST
285128,Jalaun,Uttar Pradesh,N2,1,1,,NORTH
753141,Cuttack,Orissa,E2,1,1,,EAST
583123,Bellary,Karnataka,S2,0,1,,SOUTH
520003,Vijayawada,Andhra Pradesh,S2,0,1,0,SOUTH
690517,Tiruvalla,Kerala,S3,1,1,,SOUTH
248147,Dehradun,Uttarakhand,N2,1,1,0,NORTH
670015,Kannur,Kerala,S3,0,1,0,SOUTH
752091,Daspalla,Orissa,E2,1,1,,EAST
679536,Sankaramangalam,Kerala,S3,1,1,,SOUTH
583217,Haveri,Karnataka,S2,0,1,,SOUTH
425108,Chopda,Maharashtra,W2,0,1,,WEST
322027,Sawai Madhopur,Rajasthan,N2,1,1,,NORTH
626137,Rajapalayam,Tamil Nadu,S2,0,1,,SOUTH
782482,Bokolia,Assam,NE2,0,1,,
502108,Siddipet,Telangana,S2,1,1,0,SOUTH
827011,Bokaro,Jharkhand,E2,0,1,,EAST
635201,Krishnagiri,Tamil Nadu,S2,1,1,,SOUTH
224235,Akbarpur,Uttar Pradesh,N2,1,1,,NORTH
678704,Nenmara,Kerala,S3,1,1,,SOUTH
224129,Tanda,Uttar Pradesh,N2,0,1,,NORTH
444105,Karanja,Maharashtra,W2,1,1,,WEST
244226,Moradabad,Uttar Pradesh,N2,0,1,,NORTH
421504,Greater Thane,Maharashtra,W2,0,1,,WEST
422103,Sinnar,Maharashtra,W2,1,1,,WEST
174024,Bilaspur-HP,Himachal Pradesh,N3,1,1,,NORTH
804428,Arwal,Bihar,E2,1,1,,EAST
232326,Ghazipur,Uttar Pradesh,N2,0,1,,NORTH
686024,Kottayam,Kerala,S3,1,1,,SOUTH
826007,Dhanbad,Jharkhand,E2,1,1,0,EAST
506318,Thirumalagiri,Telangana,S2,1,1,,SOUTH
642111,Udumalaipettai,Tamil Nadu,S2,1,1,,SOUTH
641402,Coimbatore,Tamil Nadu,S2,0,1,0,SOUTH
321617,Mahwa,Rajasthan,N2,,0,,NORTH
752037,Balugaon,Orissa,E2,0,1,,EAST
506010,Warangal,Telangana,S2,0,1,,SOUTH
477222,Bhind,Madhya Pradesh,C2,0,1,,WEST
625019,Madurai,Tamil Nadu,S2,0,1,0,SOUTH
342307,Ghator,Rajasthan,N2,0,1,,NORTH
577146,Belur,Karnataka,S2,1,1,,SOUTH
636903,Harur,Tamil Nadu,S2,0,1,,SOUTH
691539,Ayoor,Kerala,S3,1,1,,SOUTH
491665,AmbagarhChowki,Chhattisgarh,C2,0,1,,WEST
324010,Kota,Rajasthan,N2,0,1,0,NORTH
781011,Guwahati,Assam,NE1,0,1,0,
262532,Berinag,Uttarakhand,N2,0,1,,NORTH
533254,Razole,Andhra Pradesh,S2,1,1,,SOUTH
628209,Tiruchendur,Tamil Nadu,S2,1,1,,SOUTH
700084,Kolkata,West Bengal,E1,0,1,,EAST
181008,Jammu,Jammu & Kashmir,,0,1,0,
431803,Bhokar,Maharashtra,W2,1,1,,WEST
733155,Balurghat,West Bengal,E2,1,1,,EAST
273015,Gorakhpur,Uttar Pradesh,N2,0,1,0,NORTH
630212,Karaikudi,Tamil Nadu,S2,0,1,,SOUTH
226005,Lucknow,Uttar Pradesh,N2,0,1,0,NORTH
281403,Chhata,Uttar Pradesh,N2,1,1,,NORTH
246474,Chamoli,Uttarakhand,N2,1,1,,NORTH
673504,Thalassery,Kerala,S3,1,1,,SOUTH
848226,Buxar,Bihar,E2,1,1,,EAST
202130,Aligarh,Uttar Pradesh,N2,1,1,,NORTH
332043,Sikar,Rajasthan,N2,1,1,0,NORTH
753021,Cuttack,Orissa,E2,0,1,,EAST
400039,Mumbai,Maharashtra,W1,0,1,0,WEST
423104,Manmad,Maharashtra,W2,1,1,,WEST
815357,Madhupur,Jharkhand,E2,0,1,,EAST
623208,Karaikudi,Tamil Nadu,S2,0,1,,SOUTH
713425,Nabadwip,West Bengal,E2,1,1,,EAST
322214,Lalsot,Rajasthan,N2,0,1,,NORTH
190011,Srinagar,Jammu & Kashmir,,0,1,,
573131,,,,1,1,,
562102,Kolar,Karnataka,S2,1,1,,SOUTH
193201,Sopore,Jammu & Kashmir,,0,1,,
614820,Pushpavanam,Tamil Nadu,S2,0,1,,SOUTH
472338,Prithvipur,Madhya Pradesh,C2,0,1,,WEST
500046,Hyderabad,Telangana,S1,0,1,0,SOUTH
624104,Kodaikanal,Tamil Nadu,S2,1,1,,SOUTH
841311,Chhapra,Bihar,E2,0,1,,EAST
182204,Kishtwar,Jammu & Kashmir,,0,1,,
560001,Bangalore,Karnataka,S1,0,1,0,SOUTH
623317,Ramanathapuram,Tamil Nadu,S2,1,1,0,SOUTH
573119,Tiptur,Karnataka,S2,1,1,,SOUTH
635202,Dharmapuri,Tamil Nadu,S2,1,1,,SOUTH
563101,Kolar,Karnataka,S2,1,1,,SOUTH
387365,Kapadvanj,Gujarat,,1,1,,WEST
177220,Tahliwal,Himachal Pradesh,N3,1,1,,NORTH
743234,Kolkata,West Bengal,E1,0,1,,EAST
361130,Dhrol,Gujarat,,0,1,0,WEST
628251,Tiruchendur,Tamil Nadu,S2,0,1,,SOUTH
388340,Vadodara,Gujarat,,0,1,,WEST
274408,Kushinagar,Uttar Pradesh,N2,0,1,,NORTH
415617,Ganpatipule,Maharashtra,W2,1,1,,WEST
450332,Nepanagar,Madhya Pradesh,C2,0,1,,WEST
631605,Kanchipuram,Tamil Nadu,S2,1,1,0,SOUTH
534303,Kovvur,Andhra Pradesh,S2,1,1,,SOUTH
142002,Moga,Punjab,N2,0,1,0,NORTH
